filepath,filename,classe,split
C:\Users\Letic\Downloads\NEU-CLS\Cr_156.bmp,Cr_156.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_34.bmp,Sc_34.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_48.bmp,In_48.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_252.bmp,Pa_252.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_11.bmp,RS_11.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_221.bmp,Cr_221.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_97.bmp,RS_97.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_123.bmp,Cr_123.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_211.bmp,Sc_211.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_272.bmp,Cr_272.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_217.bmp,RS_217.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_120.bmp,In_120.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_10.bmp,In_10.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_112.bmp,Pa_112.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_24.bmp,In_24.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_104.bmp,In_104.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_245.bmp,Cr_245.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_175.bmp,Sc_175.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_266.bmp,Cr_266.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_229.bmp,Cr_229.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_145.bmp,Sc_145.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_287.bmp,Sc_287.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_208.bmp,RS_208.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_189.bmp,Sc_189.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_9.bmp,In_9.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_76.bmp,Cr_76.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_68.bmp,Cr_68.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_237.bmp,Pa_237.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_85.bmp,In_85.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_246.bmp,Cr_246.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_121.bmp,RS_121.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_281.bmp,Sc_281.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_209.bmp,PS_209.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_144.bmp,Sc_144.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_168.bmp,In_168.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_98.bmp,Pa_98.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_165.bmp,Pa_165.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_57.bmp,RS_57.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_60.bmp,Pa_60.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_246.bmp,RS_246.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_164.bmp,In_164.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_5.bmp,Pa_5.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_101.bmp,Pa_101.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_205.bmp,Cr_205.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_203.bmp,RS_203.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_168.bmp,Sc_168.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_49.bmp,Pa_49.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_17.bmp,Cr_17.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_169.bmp,Pa_169.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_76.bmp,Pa_76.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_215.bmp,Pa_215.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_65.bmp,In_65.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_43.bmp,Cr_43.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_173.bmp,RS_173.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\PS_37.bmp,PS_37.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_59.bmp,Cr_59.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_284.bmp,Sc_284.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_7.bmp,Sc_7.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_218.bmp,Cr_218.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_227.bmp,Cr_227.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_254.bmp,Pa_254.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_34.bmp,Pa_34.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_163.bmp,In_163.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_265.bmp,RS_265.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_218.bmp,In_218.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_109.bmp,In_109.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_284.bmp,PS_284.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_240.bmp,Cr_240.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_16.bmp,PS_16.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_167.bmp,In_167.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_229.bmp,PS_229.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_62.bmp,Pa_62.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_28.bmp,PS_28.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_17.bmp,Sc_17.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_216.bmp,In_216.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_238.bmp,Sc_238.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_233.bmp,Sc_233.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_27.bmp,Pa_27.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_152.bmp,Pa_152.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_209.bmp,Cr_209.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_118.bmp,Pa_118.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_231.bmp,RS_231.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\PS_288.bmp,PS_288.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_184.bmp,Sc_184.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_122.bmp,PS_122.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_279.bmp,Sc_279.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_291.bmp,Cr_291.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_142.bmp,RS_142.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\RS_89.bmp,RS_89.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\PS_187.bmp,PS_187.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_202.bmp,Cr_202.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_138.bmp,Pa_138.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_260.bmp,Pa_260.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_283.bmp,RS_283.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_90.bmp,Sc_90.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_99.bmp,Cr_99.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_137.bmp,Cr_137.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_187.bmp,Pa_187.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_258.bmp,In_258.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_192.bmp,RS_192.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_126.bmp,In_126.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_241.bmp,RS_241.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\RS_153.bmp,RS_153.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_196.bmp,Pa_196.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_260.bmp,Cr_260.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_140.bmp,Cr_140.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_170.bmp,PS_170.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_55.bmp,Cr_55.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_73.bmp,PS_73.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_85.bmp,PS_85.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_203.bmp,In_203.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_154.bmp,Cr_154.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_237.bmp,PS_237.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_81.bmp,Cr_81.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_213.bmp,PS_213.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_170.bmp,In_170.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_236.bmp,Sc_236.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_199.bmp,PS_199.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_197.bmp,In_197.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_150.bmp,Cr_150.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_109.bmp,RS_109.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\PS_81.bmp,PS_81.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_58.bmp,Cr_58.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_57.bmp,In_57.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_229.bmp,RS_229.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_137.bmp,Pa_137.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_212.bmp,Sc_212.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_13.bmp,Pa_13.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_271.bmp,PS_271.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_242.bmp,Cr_242.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_208.bmp,In_208.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_185.bmp,Cr_185.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_24.bmp,RS_24.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_188.bmp,Cr_188.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_31.bmp,PS_31.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_270.bmp,Sc_270.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_294.bmp,In_294.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_300.bmp,Sc_300.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_29.bmp,Sc_29.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_182.bmp,Cr_182.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_211.bmp,Pa_211.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_240.bmp,Sc_240.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_65.bmp,Pa_65.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_21.bmp,Pa_21.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_103.bmp,Cr_103.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_300.bmp,In_300.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_262.bmp,Cr_262.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_89.bmp,Cr_89.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_228.bmp,Cr_228.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_262.bmp,Pa_262.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_52.bmp,Pa_52.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_107.bmp,Cr_107.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_280.bmp,Sc_280.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_99.bmp,Pa_99.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_24.bmp,PS_24.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_137.bmp,PS_137.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_125.bmp,Cr_125.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_163.bmp,Pa_163.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_90.bmp,In_90.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_219.bmp,Sc_219.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_254.bmp,RS_254.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_76.bmp,Sc_76.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_278.bmp,In_278.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_42.bmp,PS_42.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_40.bmp,PS_40.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_55.bmp,Sc_55.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_92.bmp,RS_92.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_131.bmp,Cr_131.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_105.bmp,PS_105.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_287.bmp,In_287.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_155.bmp,Pa_155.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_30.bmp,In_30.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_56.bmp,RS_56.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_183.bmp,Cr_183.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_217.bmp,In_217.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_8.bmp,In_8.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_43.bmp,In_43.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_162.bmp,In_162.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_225.bmp,Cr_225.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_85.bmp,Cr_85.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_131.bmp,PS_131.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_207.bmp,Sc_207.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_252.bmp,RS_252.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_19.bmp,Sc_19.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_12.bmp,PS_12.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\RS_264.bmp,RS_264.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_195.bmp,Cr_195.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_122.bmp,RS_122.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\RS_128.bmp,RS_128.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_130.bmp,Cr_130.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_94.bmp,RS_94.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_179.bmp,In_179.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_210.bmp,Sc_210.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_265.bmp,PS_265.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_4.bmp,Cr_4.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_18.bmp,Cr_18.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_222.bmp,In_222.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_185.bmp,Pa_185.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_235.bmp,Sc_235.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_241.bmp,Sc_241.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_216.bmp,PS_216.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_142.bmp,Pa_142.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_158.bmp,Sc_158.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_83.bmp,Pa_83.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_214.bmp,RS_214.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_153.bmp,Cr_153.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\RS_236.bmp,RS_236.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_276.bmp,In_276.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_93.bmp,PS_93.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_125.bmp,PS_125.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_129.bmp,Pa_129.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_153.bmp,In_153.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_82.bmp,PS_82.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_219.bmp,Pa_219.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_31.bmp,Cr_31.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_264.bmp,PS_264.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_118.bmp,Sc_118.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_146.bmp,Pa_146.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\RS_37.bmp,RS_37.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_248.bmp,Sc_248.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_226.bmp,Sc_226.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_187.bmp,Cr_187.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_141.bmp,PS_141.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_101.bmp,Sc_101.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\In_47.bmp,In_47.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_247.bmp,Cr_247.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_278.bmp,Cr_278.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_139.bmp,In_139.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_245.bmp,RS_245.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_21.bmp,In_21.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\In_149.bmp,In_149.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_261.bmp,Pa_261.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\In_215.bmp,In_215.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_75.bmp,RS_75.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\In_112.bmp,In_112.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_27.bmp,PS_27.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_296.bmp,In_296.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\RS_1.bmp,RS_1.bmp,Rolled-in_Scale,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_31.bmp,Pa_31.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_215.bmp,Cr_215.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_159.bmp,In_159.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\PS_168.bmp,PS_168.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_161.bmp,Sc_161.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Sc_227.bmp,Sc_227.bmp,Scratches,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_261.bmp,Cr_261.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\In_191.bmp,In_191.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_51.bmp,Cr_51.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_242.bmp,PS_242.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\In_248.bmp,In_248.bmp,Inclusion,train
C:\Users\Letic\Downloads\NEU-CLS\Pa_16.bmp,Pa_16.bmp,Patches,train
C:\Users\Letic\Downloads\NEU-CLS\PS_22.bmp,PS_22.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_236.bmp,PS_236.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_149.bmp,Cr_149.bmp,Crazing,train
C:\Users\Letic\Downloads\NEU-CLS\PS_10.bmp,PS_10.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\PS_249.bmp,PS_249.bmp,Pitted_Surface,train
C:\Users\Letic\Downloads\NEU-CLS\Cr_136.bmp,Cr_136.bmp,Crazing,train
