image_path,filename,split,label,label_idx
C:\Users\Letic\Downloads\NEU-CLS\Sc_211.bmp,Sc_211.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_272.bmp,Cr_272.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_217.bmp,RS_217.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_120.bmp,In_120.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_10.bmp,In_10.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_112.bmp,Pa_112.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_24.bmp,In_24.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_104.bmp,In_104.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_245.bmp,Cr_245.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_175.bmp,Sc_175.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_266.bmp,Cr_266.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_229.bmp,Cr_229.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_145.bmp,Sc_145.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_287.bmp,Sc_287.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\RS_208.bmp,RS_208.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_189.bmp,Sc_189.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_9.bmp,In_9.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_76.bmp,Cr_76.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_68.bmp,Cr_68.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_237.bmp,Pa_237.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_85.bmp,In_85.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_246.bmp,Cr_246.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_121.bmp,RS_121.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_281.bmp,Sc_281.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_209.bmp,PS_209.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_144.bmp,Sc_144.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_168.bmp,In_168.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_98.bmp,Pa_98.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_165.bmp,Pa_165.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_57.bmp,RS_57.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Pa_60.bmp,Pa_60.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_246.bmp,RS_246.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_164.bmp,In_164.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_5.bmp,Pa_5.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_101.bmp,Pa_101.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_205.bmp,Cr_205.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_203.bmp,RS_203.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_168.bmp,Sc_168.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_49.bmp,Pa_49.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_17.bmp,Cr_17.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_169.bmp,Pa_169.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_76.bmp,Pa_76.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_215.bmp,Pa_215.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_65.bmp,In_65.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_43.bmp,Cr_43.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_173.bmp,RS_173.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\PS_37.bmp,PS_37.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_59.bmp,Cr_59.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_284.bmp,Sc_284.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_7.bmp,Sc_7.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_218.bmp,Cr_218.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_227.bmp,Cr_227.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_254.bmp,Pa_254.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_34.bmp,Pa_34.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_163.bmp,In_163.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_265.bmp,RS_265.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_218.bmp,In_218.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_109.bmp,In_109.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_284.bmp,PS_284.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_240.bmp,Cr_240.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_16.bmp,PS_16.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_167.bmp,In_167.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_229.bmp,PS_229.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Pa_62.bmp,Pa_62.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\PS_28.bmp,PS_28.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_17.bmp,Sc_17.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_216.bmp,In_216.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_238.bmp,Sc_238.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_233.bmp,Sc_233.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_27.bmp,Pa_27.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_152.bmp,Pa_152.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_209.bmp,Cr_209.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_118.bmp,Pa_118.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_231.bmp,RS_231.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\PS_288.bmp,PS_288.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_184.bmp,Sc_184.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_122.bmp,PS_122.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_279.bmp,Sc_279.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_291.bmp,Cr_291.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_142.bmp,RS_142.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\RS_89.bmp,RS_89.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\PS_187.bmp,PS_187.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_202.bmp,Cr_202.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_138.bmp,Pa_138.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_260.bmp,Pa_260.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_283.bmp,RS_283.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_90.bmp,Sc_90.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_99.bmp,Cr_99.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_137.bmp,Cr_137.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_187.bmp,Pa_187.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_258.bmp,In_258.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_192.bmp,RS_192.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_126.bmp,In_126.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_241.bmp,RS_241.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\RS_153.bmp,RS_153.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Pa_196.bmp,Pa_196.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_260.bmp,Cr_260.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_140.bmp,Cr_140.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_170.bmp,PS_170.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_55.bmp,Cr_55.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_73.bmp,PS_73.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_85.bmp,PS_85.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_203.bmp,In_203.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_154.bmp,Cr_154.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_237.bmp,PS_237.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_81.bmp,Cr_81.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_213.bmp,PS_213.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_170.bmp,In_170.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_236.bmp,Sc_236.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_199.bmp,PS_199.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_197.bmp,In_197.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_150.bmp,Cr_150.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_109.bmp,RS_109.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\PS_81.bmp,PS_81.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_58.bmp,Cr_58.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_57.bmp,In_57.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_229.bmp,RS_229.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Pa_137.bmp,Pa_137.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Sc_212.bmp,Sc_212.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_13.bmp,Pa_13.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\PS_271.bmp,PS_271.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_242.bmp,Cr_242.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_208.bmp,In_208.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_185.bmp,Cr_185.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_24.bmp,RS_24.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_188.bmp,Cr_188.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_31.bmp,PS_31.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_270.bmp,Sc_270.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_294.bmp,In_294.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_300.bmp,Sc_300.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_29.bmp,Sc_29.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_182.bmp,Cr_182.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_211.bmp,Pa_211.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Sc_240.bmp,Sc_240.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_65.bmp,Pa_65.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_21.bmp,Pa_21.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_103.bmp,Cr_103.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_300.bmp,In_300.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_262.bmp,Cr_262.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_89.bmp,Cr_89.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_228.bmp,Cr_228.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_262.bmp,Pa_262.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Pa_52.bmp,Pa_52.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_107.bmp,Cr_107.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Sc_280.bmp,Sc_280.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_99.bmp,Pa_99.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\PS_24.bmp,PS_24.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_137.bmp,PS_137.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_125.bmp,Cr_125.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Pa_163.bmp,Pa_163.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_90.bmp,In_90.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_219.bmp,Sc_219.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\RS_254.bmp,RS_254.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_76.bmp,Sc_76.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_278.bmp,In_278.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_42.bmp,PS_42.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_40.bmp,PS_40.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_55.bmp,Sc_55.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\RS_92.bmp,RS_92.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_131.bmp,Cr_131.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_105.bmp,PS_105.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_287.bmp,In_287.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_155.bmp,Pa_155.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_30.bmp,In_30.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_56.bmp,RS_56.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_183.bmp,Cr_183.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_217.bmp,In_217.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_8.bmp,In_8.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_43.bmp,In_43.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_162.bmp,In_162.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_225.bmp,Cr_225.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_85.bmp,Cr_85.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_131.bmp,PS_131.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_207.bmp,Sc_207.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\RS_252.bmp,RS_252.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_19.bmp,Sc_19.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_12.bmp,PS_12.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\RS_264.bmp,RS_264.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_195.bmp,Cr_195.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_122.bmp,RS_122.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\RS_128.bmp,RS_128.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_130.bmp,Cr_130.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_94.bmp,RS_94.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_179.bmp,In_179.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Sc_210.bmp,Sc_210.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_265.bmp,PS_265.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_4.bmp,Cr_4.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_18.bmp,Cr_18.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_222.bmp,In_222.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_185.bmp,Pa_185.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Sc_235.bmp,Sc_235.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_241.bmp,Sc_241.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\PS_216.bmp,PS_216.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Pa_142.bmp,Pa_142.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Sc_158.bmp,Sc_158.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_83.bmp,Pa_83.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_214.bmp,RS_214.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Cr_153.bmp,Cr_153.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\RS_236.bmp,RS_236.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_276.bmp,In_276.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_93.bmp,PS_93.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_125.bmp,PS_125.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Pa_129.bmp,Pa_129.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_153.bmp,In_153.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_82.bmp,PS_82.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Pa_219.bmp,Pa_219.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_31.bmp,Cr_31.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_264.bmp,PS_264.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_118.bmp,Sc_118.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Pa_146.bmp,Pa_146.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\RS_37.bmp,RS_37.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Sc_248.bmp,Sc_248.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_226.bmp,Sc_226.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_187.bmp,Cr_187.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_141.bmp,PS_141.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_101.bmp,Sc_101.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\In_47.bmp,In_47.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_247.bmp,Cr_247.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\Cr_278.bmp,Cr_278.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_139.bmp,In_139.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_245.bmp,RS_245.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_21.bmp,In_21.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_149.bmp,In_149.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_261.bmp,Pa_261.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\In_215.bmp,In_215.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_75.bmp,RS_75.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\In_112.bmp,In_112.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_27.bmp,PS_27.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_296.bmp,In_296.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_1.bmp,RS_1.bmp,train,RS,4
C:\Users\Letic\Downloads\NEU-CLS\Pa_31.bmp,Pa_31.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\Cr_215.bmp,Cr_215.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_159.bmp,In_159.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\PS_168.bmp,PS_168.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Sc_161.bmp,Sc_161.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Sc_227.bmp,Sc_227.bmp,train,Sc,5
C:\Users\Letic\Downloads\NEU-CLS\Cr_261.bmp,Cr_261.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\In_191.bmp,In_191.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Cr_51.bmp,Cr_51.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_242.bmp,PS_242.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_248.bmp,In_248.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\Pa_16.bmp,Pa_16.bmp,train,Pa,2
C:\Users\Letic\Downloads\NEU-CLS\PS_22.bmp,PS_22.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_236.bmp,PS_236.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_149.bmp,Cr_149.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_10.bmp,PS_10.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_249.bmp,PS_249.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\Cr_136.bmp,Cr_136.bmp,train,Cr,0
C:\Users\Letic\Downloads\NEU-CLS\PS_201.bmp,PS_201.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\PS_133.bmp,PS_133.bmp,train,PS,3
C:\Users\Letic\Downloads\NEU-CLS\In_173.bmp,In_173.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_32.bmp,In_32.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\In_54.bmp,In_54.bmp,train,In,1
C:\Users\Letic\Downloads\NEU-CLS\RS_32.bmp,RS_32.bmp,train,RS,4
